No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Reasoning,Confidence
169,Changelog / Release Notes,Newsletter / Content First,Minimalism & Swiss Style + Flat Design,Neutral bg + version badge colors + date grey,Neutral + Versioned hierarchy,Timeline transitions + version badges,"{""must_have"":[""constraint:chronological-feed"",""constraint:semver-badges"",""constraint:breaking-change-warnings"",""constraint:copy-paste-install"",""constraint:version-search""],""if_content_focused"":[""constraint:prioritize-clarity""],""if_low_performance"":[""constraint:reduce-motion""]}",No chronological order + no version tags + noisy marketing copy,MEDIUM,"release notes should be skimmable, versioned, and safe to scan for breaking changes",0.90
170,Citizen Science Platform,Scroll-Triggered Storytelling,Organic Biophilic + Motion-Driven,Earth green + discovery orange + volunteer badge blue + data neutral,Readable + Community-first typography,Progress badges + contribution feedback,"{""must_have"":[""constraint:project-cards"",""constraint:contribution-tracker"",""constraint:data-quality-feedback"",""constraint:community-forums"",""constraint:leaderboards""],""if_engagement_metric"":[""constraint:add-progress-animation""],""if_content_focused"":[""constraint:increase-playfulness""]}",No progress feedback + reward-less contributions,MEDIUM,"participation loops need visible impact, feedback, and lightweight community momentum",0.89
171,Classifieds / Buy-Sell,Marketplace / Directory,Flat Design + Bento Box Grid,Neutral bg + price green + category chips + verified seller badge,Scan-friendly + Marketplace typography,Photo-first cards + map/list toggle,"{""must_have"":[""constraint:photo-first-cards"",""constraint:multi-filter-sidebar"",""constraint:price-negotiation"",""constraint:location-radius"",""constraint:seller-reputation""],""if_discovery_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",No trust cues + text-heavy pages + hidden filters,HIGH,"resale discovery depends on trust, proximity, and fast comparison of nearby inventory",0.93
172,Conference / Symposium Landing Page,Event/Conference Landing,Swiss Modernism 2.0 + Accessible & Ethical,Academic navy + track color chips + gold keynote + neutral white,Academic + Hierarchical typography,Speaker grid + agenda reveal,"{""must_have"":[""constraint:speaker-grid"",""constraint:multi-track-agenda"",""constraint:cfp-countdown"",""constraint:venue-map"",""constraint:sponsor-tiers""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Ornate design + unclear schedule + hidden speaker info,MEDIUM,"event pages need strong credibility, schedule clarity, and deadline pressure",0.90
173,Crowdfunding Platform,Scroll-Triggered Storytelling,Vibrant & Block-based + Motion-Driven,Brand primary + funding progress green + urgency amber + reward tier colors,Emotional + High-contrast typography,Progress bar + reward-tier animations,"{""must_have"":[""constraint:progress-bar"",""constraint:reward-tier-selector"",""constraint:backer-count"",""constraint:countdown-timer"",""constraint:updates-feed""],""if_conversion_focused"":[""constraint:add-urgency-colors""],""if_engagement_metric"":[""constraint:add-progress-animation""]}",Static design + no progress bar + weak social proof,HIGH,"crowdfunding conversion rises when progress, scarcity, and creator story stay visible",0.92
174,Digital Signage / Kiosk,Immersive/Interactive Experience,Flat Design + Dark Mode (OLED),High contrast + brand accent + touch target emphasis,Large + Immediate typography,Auto-rotate transitions + large touch feedback,"{""must_have"":[""constraint:single-purpose-layout"",""constraint:touch-targets"",""constraint:auto-rotate-content"",""constraint:offline-fallback"",""constraint:brightness-aware-palette""],""if_mobile"":[""constraint:optimize-touch-targets""],""if_low_performance"":[""constraint:reduce-motion""]}",Tiny tap targets + scroll-heavy layout + flashy motion,MEDIUM,"kiosk UI must survive bad lighting, low attention, and partial offline operation",0.88
175,E-signature / Document Workflow,Enterprise Gateway,Minimalism & Swiss Style + Accessible & Ethical,Trust navy + signature green + pending amber + neutral grey,Professional + Document-readable typography,Signature placement highlights + audit trail states,"{""must_have"":[""constraint:document-preview"",""constraint:signature-placement"",""constraint:multi-signer-flow"",""constraint:audit-trail"",""constraint:compliance-badges""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Confusing signing flow + weak audit trail + hidden consent,HIGH,"signing flows live on trust, legibility, and irreversible action clarity",0.93
176,Feature Flag / Config Management,Product Demo + Features,Dark Mode (OLED) + Data-Dense Dashboard,Dark bg + enabled green + disabled grey + experimental amber + kill-switch red,Functional + Technical typography,Toggle state transitions + rollout sliders,"{""must_have"":[""constraint:feature-toggle-list"",""constraint:rollout-slider"",""constraint:environment-switcher"",""constraint:targeting-rules"",""constraint:kill-switch""],""if_dashboard"":[""constraint:virtualize-lists""],""if_trust_needed"":[""constraint:prioritize-clarity""]}",Decorative visuals + ambiguous toggle states + slow performance,HIGH,config tools need dense state visibility and unambiguous rollout control,0.91
177,Government Portal / Civic Services,Enterprise Gateway,Accessible & Ethical + Inclusive Design,Professional blue + accessibility high contrast + service category colors,Clear + Large typography,Skip-link focus states + save-progress forms,"{""must_have"":[""constraint:plain-language-copy"",""constraint:service-a-z"",""constraint:save-progress"",""constraint:document-upload"",""constraint:appointment-booking""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Ornate design + low contrast + motion effects + AI purple/pink gradients,HIGH,"civic flows must stay plain, accessible, and resilient for interrupted form completion",0.95
178,Grant / Funding Portal,Marketplace / Directory,Accessible & Ethical + Swiss Modernism 2.0,Institution navy + funding green + deadline red + neutral white,Formal + Clear typography,Deadline countdown + status tracking,"{""must_have"":[""constraint:opportunity-cards"",""constraint:eligibility-checker"",""constraint:deadline-countdown"",""constraint:application-wizard"",""constraint:status-tracker""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_conversion_focused"":[""constraint:add-urgency-colors""]}",No deadlines + no eligibility clarity + buried docs,HIGH,"funding portals need deadline visibility, eligibility clarity, and a strong evidence trail",0.92
179,LMS (Learning Management System),Feature-Rich Showcase,Flat Design + Accessible & Ethical,Calm blue + course category colors + grade green + alert red,Readable + Instructional typography,Course progress + calendar reminders,"{""must_have"":[""constraint:course-grid"",""constraint:assignment-deadlines"",""constraint:gradebook"",""constraint:discussion-forums"",""constraint:calendar-integration""],""if_content_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Hidden assignments + poor mobile + cluttered navigation,HIGH,"learning systems must stay structured, legible, and reminder-driven across devices",0.93
180,No-code / Low-code Builder,Product Demo + Features,Vibrant & Block-based + Bento Box Grid,Brand primary + component palette colors + canvas neutral + connect blue,Functional + UI-focused typography,Drag-drop canvas + live preview sync,"{""must_have"":[""constraint:drag-drop-canvas"",""constraint:component-sidebar"",""constraint:logic-flow-editor"",""constraint:live-preview"",""constraint:template-gallery""],""if_dashboard"":[""constraint:virtualize-lists""],""if_ux_focused"":[""constraint:add-progress-animation""]}",No live preview + hidden logic + sluggish canvas,HIGH,builders need visual affordance density without sacrificing preview fidelity or performance,0.89
181,Open Source Project Landing,Hero + Features + CTA,Flat Design + Minimalism & Swiss Style,Dark bg + language color bar + star gold + fork silver + sponsor purple,Technical + Clear typography,Install-command copy + contributor stats,"{""must_have"":[""constraint:install-command"",""constraint:contributor-stats"",""constraint:language-bar"",""constraint:issue-pr-status"",""constraint:sponsor-cta""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_content_focused"":[""style:flat-design""]}",No install command + weak contributor proof + marketing fluff,MEDIUM,"open-source landings succeed when setup, social proof, and maintenance status are immediate",0.90
182,Patient Portal / Health Records,Trust & Authority + Conversion,Minimalism & Swiss Style + Accessible & Ethical,Clinical blue + health green + alert red + calm white + accessible contrast,Professional + Readable typography,Labs timeline + message status states,"{""must_have"":[""constraint:lab-results-timeline"",""constraint:medication-list"",""constraint:appointment-scheduling"",""constraint:message-care-team"",""constraint:family-access""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Confusing booking + low contrast + missing lab hierarchy,HIGH,"health records need trust, hierarchy, and fast access to the next actionable item",0.94
183,Patent / IP Database,Marketplace / Directory,Swiss Modernism 2.0 + Data-Dense Dashboard,Formal neutral + patent type chips + status badges,Formal + Search-friendly typography,Full-text search highlight + citation graph,"{""must_have"":[""constraint:full-text-search"",""constraint:classification-tree"",""constraint:citation-graph"",""constraint:prior-art-comparison"",""constraint:legal-status-tracker""],""if_data_heavy"":[""constraint:virtualize-lists""],""if_trust_needed"":[""constraint:prioritize-clarity""]}",No search + no citation graph + visual clutter,HIGH,"IP discovery depends on precise search, citation context, and legal-status visibility",0.89
184,Q&A Community Platform,Community/Forum Landing,Minimalism & Swiss Style + Flat Design,Clean white + upvote orange + accepted green + reputation gold + tag colors,Readable + Code-friendly typography,Vote count emphasis + code-block highlighting,"{""must_have"":[""constraint:vote-count"",""constraint:code-blocks"",""constraint:tag-filter"",""constraint:accepted-answer"",""constraint:bookmark-save""],""if_content_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",No code support + poor vote clarity + hidden accepted answer,HIGH,"Q&A works when answer ranking, code readability, and tag discovery are all obvious",0.93
185,Research Lab / University Department,Portfolio Grid,Swiss Modernism 2.0 + Editorial Grid / Magazine,Institutional navy + white + research-area accents + serif headings,Academic + Clear typography,Publication cards + people grid,"{""must_have"":[""constraint:pi-bio"",""constraint:member-grid"",""constraint:publication-list"",""constraint:open-positions"",""constraint:funding-acknowledgments""],""if_content_focused"":[""constraint:prioritize-clarity""],""if_trust_needed"":[""constraint:reduce-motion""]}",Low hierarchy + no publication filtering + cluttered visuals,MEDIUM,"lab pages must present publications, team structure, and open opportunities with high credibility",0.91
186,Resume / CV Builder,Product Demo + Features,Minimalism & Swiss Style + Accessible & Ethical,Professional navy + section accent + success green + clean white,Professional + Resume-friendly typography,Real-time preview + ATS score indicator,"{""must_have"":[""constraint:template-picker"",""constraint:section-editor"",""constraint:real-time-preview"",""constraint:ats-score"",""constraint:pdf-export""],""if_conversion_focused"":[""constraint:add-progress-animation""],""if_trust_needed"":[""constraint:prioritize-clarity""]}",No live preview + weak ATS signals + decorative clutter,HIGH,"resume tools need immediate feedback, export confidence, and minimal layout noise",0.92
187,Review Platform,Product Review/Ratings Focused,Bento Box Grid + Vibrant & Block-based,Brand primary + star gold + positive green + negative red + verified blue,Readable + Review-first typography,Rating distribution + verified badge emphasis,"{""must_have"":[""constraint:rating-summary"",""constraint:verified-badge"",""constraint:photo-video-reviews"",""constraint:helpful-votes"",""constraint:sort-by-recency""],""if_trust_needed"":[""constraint:add-testimonials""],""if_conversion_focused"":[""constraint:add-urgency-colors""]}",No verified badges + text-heavy pages + hidden filter controls,HIGH,"review UX depends on trust signals, filtering, and fast scan of the rating spread",0.94
188,RPA / Automation Dashboard,Real-Time / Operations Landing,Dark Mode (OLED) + Data-Dense Dashboard,Dark bg + running green + failed red + queued amber + completed blue,Functional + Operational typography,Status matrix + alert transitions,"{""must_have"":[""constraint:bot-status-grid"",""constraint:queue-depth"",""constraint:process-flow"",""constraint:exception-alerts"",""constraint:roi-metrics""],""if_dashboard"":[""constraint:virtualize-lists""],""if_trust_needed"":[""constraint:red-alert-colors""]}",Slow dashboards + decorative charts + hidden error states,HIGH,"automation ops need dense state surfaces, failure visibility, and ROI proof",0.93
189,Survey / Form Builder,Product Demo + Features,Minimalism & Swiss Style + Micro-interactions,Clean white + question accent + progress green + submit blue,Clear + Form-first typography,Conditional-logic flow + progress animation,"{""must_have"":[""constraint:drag-drop-builder"",""constraint:question-library"",""constraint:conditional-logic"",""constraint:theme-picker"",""constraint:response-dashboard""],""if_ux_focused"":[""constraint:add-progress-animation""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Static forms + hidden conditional logic + weak progress cues,HIGH,"form builders need visible logic, easy composition, and response clarity",0.92
190,Telemedicine Platform,Trust & Authority + Conversion,Neumorphism + Accessible & Ethical,Calm medical blue + video green + waiting amber + trust white,Professional + Calm typography,Video-call state transitions + waiting-room ETA,"{""must_have"":[""constraint:video-call-ui"",""constraint:appointment-queue"",""constraint:symptom-intake"",""constraint:prescription-delivery"",""constraint:waiting-room-eta""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Low trust cues + confusing waiting state + tiny controls,HIGH,"telemedicine must reduce anxiety, surface wait state, and keep control sizing forgiving",0.88
191,Testimonial & Social Proof Widget,Hero + Testimonials + CTA,Bento Box Grid + Vibrant & Block-based,Brand primary + quote accent + star gold + verified blue,Readable + Social-proof typography,Card carousel + photo/video cards,"{""must_have"":[""constraint:testimonial-cards"",""constraint:star-ratings"",""constraint:video-testimonials"",""constraint:case-study-summaries"",""constraint:embed-code""],""if_trust_needed"":[""constraint:add-testimonials""],""if_conversion_focused"":[""constraint:increase-playfulness""]}",No evidence badges + static layout + tiny media,MEDIUM,"social proof widgets exist to compress trust into a quick, embeddable read",0.91
192,Ticketing / Box Office,Event/Conference Landing,Vibrant & Block-based + Motion-Driven,Event theme colors + available green + sold-out red + seat map neutral,Bold + Event typography,Seat-map hover states + countdown urgency,"{""must_have"":[""constraint:event-cards"",""constraint:seat-map"",""constraint:cart-countdown"",""constraint:qr-ticket"",""constraint:refund-policy""],""if_conversion_focused"":[""constraint:add-urgency-colors""],""if_mobile"":[""constraint:optimize-touch-targets""]}",No seat-map feedback + hidden fees + weak mobile,HIGH,"ticketing must make inventory, urgency, and purchase confidence visible at once",0.93
